Time,Angle,Setpoint,Dc
1050,-626.93,0,0.20
1063,-629.00,0,0.20
1076,-630.65,0,0.20
1089,-632.30,0,0.20
1102,-634.36,0,0.20
1113,-635.59,0,0.20
1123,-637.23,0,0.20
1133,-638.46,0,0.20
1143,-639.68,0,0.20
1153,-641.31,0,0.20
1163,-642.53,0,0.20
1173,-643.75,0,0.20
1183,-645.37,0,0.20
1193,-646.58,0,0.20
1203,-647.79,0,0.20
1213,-649.40,0,0.20
1223,-650.61,0,0.20
1235,-652.22,0,0.20
1246,-653.82,0,0.20
1256,-655.02,0,0.20
1266,-656.22,0,0.20
1276,-657.82,0,0.20
1286,-659.01,0,0.20
1296,-660.20,0,0.20
1313,-662.58,0,0.20
1327,-664.56,0,0.20
1338,-665.74,0,0.20
1348,-667.31,0,0.20
1358,-668.49,0,0.20
1375,-670.84,0,0.20
1391,-672.79,0,0.20
1405,-674.73,0,0.20
1419,-676.29,0,0.20
1432,-678.22,0,0.20
1446,-679.76,0,0.20
1460,-681.69,0,0.20
1474,-683.61,0,0.20
1487,-685.14,0,0.20
1502,-687.05,0,0.20
1516,-688.94,0,0.20
1530,-690.46,0,0.20
1544,-692.35,0,0.20
1560,-694.22,0,0.20
1574,-696.09,0,0.20
1587,-697.59,0,0.20
1600,-699.45,0,0.20
1616,-701.30,0,0.20
1630,-703.15,0,0.20
1644,-704.62,0,0.20
1658,-706.45,0,0.20
1671,-707.92,0,0.20
1685,-709.75,0,0.20
1699,-711.57,0,0.20
1713,-713.03,0,0.20
1727,-714.85,0,0.20
1741,-716.67,0,0.20
1755,-718.12,0,0.20
1769,-719.93,0,0.20
1782,-721.74,0,0.20
1797,-723.18,0,0.20
1811,-724.99,0,0.20
1825,-726.79,0,0.20
1838,-728.23,0,0.20
1853,-730.04,0,0.20
1867,-731.84,0,0.20
1881,-733.28,0,0.20
1895,-735.09,0,0.20
1908,-736.53,0,0.20
1924,-738.70,0,0.20
1938,-740.15,0,0.20
1951,-741.95,0,0.20
1964,-743.40,0,0.20
1978,-745.22,0,0.20
1994,-747.04,0,0.20
2008,-748.86,0,0.20
2022,-750.32,0,0.20
2036,-752.14,0,0.20
2050,-753.97,0,0.20
2064,-755.44,0,0.20
2077,-757.28,0,0.20
2090,-758.75,0,0.20
2103,-760.23,0,0.20
2114,-761.71,0,0.20
2124,-762.82,0,0.20
2134,-764.31,0,0.20
2144,-765.42,0,0.20
2154,-766.54,0,0.20
2164,-768.03,0,0.20
2174,-769.15,0,0.20
2184,-770.28,0,0.20
2194,-771.78,0,0.20
2204,-772.90,0,0.20
2214,-774.03,0,0.20
2227,-775.93,0,0.20
2241,-777.44,0,0.20
2254,-779.34,0,0.20
2265,-780.49,0,0.20
2275,-782.01,0,0.20
2285,-783.16,0,0.20
2295,-784.31,0,0.20
2305,-785.85,0,0.20
2315,-787.01,0,0.20
2333,-789.32,0,0.20
2349,-791.26,0,0.20
2363,-793.20,0,0.20
2377,-795.14,0,0.20
2390,-796.71,0,0.20
2403,-798.27,0,0.20
2416,-800.22,0,0.20
2430,-801.79,0,0.20
2444,-803.76,0,0.20
2458,-805.72,0,0.20
2472,-807.30,0,0.20
2485,-809.28,0,0.20
2498,-810.87,0,0.20
2514,-812.86,0,0.20
2528,-814.86,0,0.20
2542,-816.86,0,0.20
2555,-818.47,0,0.20
2568,-820.08,0,0.20
2581,-822.11,0,0.20
2596,-824.14,0,0.20
2610,-825.77,0,0.20
2624,-827.82,0,0.20
2637,-829.47,0,0.20
2650,-831.53,0,0.20
2663,-833.19,0,0.20
2676,-834.86,0,0.20
2692,-837.37,0,0.20
2705,-839.05,0,0.20
2718,-840.74,0,0.20
2731,-842.85,0,0.20
2745,-844.54,0,0.20
2758,-846.67,0,0.20
2773,-848.80,0,0.20
2787,-850.52,0,0.20
2801,-852.67,0,0.20
2815,-854.82,0,0.20
2828,-856.55,0,0.20
2841,-858.29,0,0.20
2857,-860.89,0,0.20
2871,-862.63,0,0.20
2885,-864.82,0,0.20
2898,-866.56,0,0.20
2911,-868.76,0,0.20
2925,-870.51,0,0.20
2941,-873.15,0,0.20
2955,-874.92,0,0.20
2969,-877.13,0,0.20
2982,-878.90,0,0.20
2995,-881.13,0,0.20
3008,-882.91,0,0.20
3021,-884.69,0,0.20
3035,-886.93,0,0.20
3046,-888.72,0,0.20
3056,-890.07,0,0.20
3066,-891.41,0,0.20
3077,-893.22,0,0.20
3087,-894.57,0,0.20
3097,-896.37,0,0.20
3107,-897.73,0,0.20
3123,-900.44,0,0.20
3137,-902.25,0,0.20
3150,-904.07,0,0.20
3164,-906.34,0,0.20
3175,-908.16,0,0.20
3185,-909.53,0,0.20
3195,-910.89,0,0.20
3205,-912.71,0,0.20
3222,-915.45,0,0.20
3237,-917.28,0,0.20
3250,-919.56,0,0.20
3263,-921.39,0,0.20
3276,-923.22,0,0.20
3289,-925.51,0,0.20
3302,-927.34,0,0.20
3315,-929.17,0,0.20
